"#ä";;;;;;;;;;;;;;;;;;;;
;"Part";"Changed";"Key";"Reference";"Comment";"Limit";"en";"enDev";"de";"deFormal";"es";"pt";"it";"fr";"ja";"pl";"en-us";"es-us";"zh";"tr"
"#";;;;;;;;;;;;;;;;;;;;
;"Arena";;"Hello World";;"For testing only";;"Hello World";;"Hallo Welt";"Hallo Welt";;;;;;;;;;
;"Arena";;"Send";;"Chat input at avatar";10;"Send";;"Senden";"Senden";;;;;;;;;;
;"Chat";;"Chat";;"Chat dialog caption, also used as prefix as in: ""Chat http://www.google.com/""";15;"Chat";;"Chat";"Chat";;;;;;;;;;
;"Chat";;"Send";;"Send button";15;"Send";;"Senden";"Senden";;;;;;;;;;
;"Chat";;"Clear";;"Clear button inside chat out area";15;"Clear";;"Löschen";"Löschen";;;;;;;;;;
